sla_id,complaint_id,sla_type,sla_name,start_time,due_time,target_minutes,response_time_minutes,resolution_time_minutes,is_breached,breached_at,breached_reason,is_active,created_at,updated_at
315c7b60-1f01-4b78-97ab-2c928cb1af7c,70020a29-f002-4875-ae50-29b0561f488c,RESOLUTION,LOW,2025-03-17 14:30:00,2025-03-24 14:30:00,10080,660,1260,False,,,True,2025-03-17 14:30:00,2025-03-17 14:30:00
9b789b86-84e4-48e1-a8d8-8081cccffe7b,f28b1760-1a2a-406a-b8cc-ff5f8cd43642,RESOLUTION,MEDIUM,2025-06-01 17:10:00,2025-06-04 17:10:00,4320,300,600,False,,,True,2025-06-01 17:10:00,2025-06-01 17:10:00
fd36708c-d5c5-46d6-8c3c-391a43cbd8d1,e76a9480-ce25-4cb4-912a-44df26b8e4bd,RESOLUTION,CRITICAL,2025-04-26 04:15:00,2025-04-26 08:15:00,240,120,420,True,2025-04-26 08:15:00,"เกินกำหนด SLA 180 นาที (target 240 นาที, actual 420 นาที)",True,2025-04-26 04:15:00,2025-04-26 04:15:00
5b37312e-6cf5-47ef-99db-ac4772073d0e,ee935225-4daf-471a-bc6b-55c2f8f066f1,RESOLUTION,MEDIUM,2025-04-07 15:44:00,2025-04-10 15:44:00,4320,900,2700,False,,,True,2025-04-07 15:44:00,2025-04-07 15:44:00
c8f38a8e-9e21-449d-8868-1ef26b2af1f0,ac9807a7-948d-4252-83a0-a2d8e8966b90,RESOLUTION,LOW,2025-06-26 10:17:00,2025-07-03 10:17:00,10080,540,1080,False,,,True,2025-06-26 10:17:00,2025-06-26 10:17:00
ac43cedd-218b-4af3-902d-a8233ad92a3d,603a39bc-3b75-49ce-ba0b-cd1514fc8934,RESOLUTION,LOW,2025-05-12 09:08:00,2025-05-19 09:08:00,10080,1140,2280,False,,,True,2025-05-12 09:08:00,2025-05-12 09:08:00
80a3e40b-f2bc-4538-9bae-dcabc301d7b6,0b9cc1ce-83ca-47f3-9560-b908bfe75485,RESOLUTION,LOW,2025-06-28 21:43:00,2025-07-05 21:43:00,10080,1320,2640,False,,,True,2025-06-28 21:43:00,2025-06-28 21:43:00
c9c96e80-1aaf-4597-bfd9-bd3fdac1f529,5f4ec87c-74f6-4bdc-8472-1a233b3eb3a5,RESOLUTION,MEDIUM,2025-06-06 17:08:00,2025-06-09 17:08:00,4320,300,,True,2025-06-09 17:08:00,เกินกำหนด SLA โดยยังไม่มีการดำเนินการแก้ไข,True,2025-06-06 17:08:00,2025-06-06 17:08:00
2cc50b7e-c612-44f8-bf33-8920e4de6dbb,1e6a26ff-270f-4d5e-b583-88ee82b86866,RESOLUTION,MEDIUM,2025-05-03 06:31:00,2025-05-06 06:31:00,4320,,,True,2025-05-06 06:31:00,เกินกำหนด SLA โดยยังไม่มีการดำเนินการแก้ไข,True,2025-05-03 06:31:00,2025-05-03 06:31:00
1f9151a8-9e1a-4e86-a267-101c34247c44,0d4a4797-a9e3-4172-9e03-55dd70312f8f,RESOLUTION,MEDIUM,2025-02-18 17:44:00,2025-02-21 17:44:00,4320,360,1080,False,,,True,2025-02-18 17:44:00,2025-02-18 17:44:00
822f2686-1abe-4ed4-847e-271d20000d27,126e6914-10e0-4225-b404-a03d12b85d21,RESOLUTION,LOW,2025-05-29 06:40:00,2025-06-05 06:40:00,10080,,,True,2025-06-05 06:40:00,เกินกำหนด SLA โดยยังไม่มีการดำเนินการแก้ไข,True,2025-05-29 06:40:00,2025-05-29 06:40:00
02c51f25-79bb-4dcf-902d-73eabf30e6a8,4ba7c27d-48f4-4c0d-91f2-6c517e0b776a,RESOLUTION,MEDIUM,2025-04-28 16:56:00,2025-05-01 16:56:00,4320,420,720,False,,,True,2025-04-28 16:56:00,2025-04-28 16:56:00
84cef034-7e1b-43d7-86dc-2ffadbc93fed,26a49734-4ff9-42bc-8cf1-32e7b0a47f34,RESOLUTION,MEDIUM,2025-06-03 12:55:00,2025-06-06 12:55:00,4320,780,1560,False,,,True,2025-06-03 12:55:00,2025-06-03 12:55:00
88a743c5-e8f1-4228-962c-c991d9b6b741,a9b4b1d7-078f-4583-ada3-4c13a33be3d1,RESOLUTION,MEDIUM,2025-06-07 18:20:00,2025-06-10 18:20:00,4320,360,1080,False,,,True,2025-06-07 18:20:00,2025-06-07 18:20:00
98a62d1c-2672-4fc6-bbd7-77902ebbab56,783a042a-119f-40b3-a831-8305a5856ffc,RESOLUTION,LOW,2025-05-17 20:33:00,2025-05-24 20:33:00,10080,1380,2760,False,,,True,2025-05-17 20:33:00,2025-05-17 20:33:00
56a0a9e1-10bb-4cee-a506-6d7c375394af,0f4c0a06-d107-44de-8296-d27a22e0e475,RESOLUTION,LOW,2025-06-21 20:18:00,2025-06-28 20:18:00,10080,480,1080,False,,,True,2025-06-21 20:18:00,2025-06-21 20:18:00
453afa3f-1fb8-441b-9200-fc5a6cfed197,38b4d532-b96a-432d-ba3f-a1f51a71aedb,RESOLUTION,MEDIUM,2025-01-20 10:28:00,2025-01-23 10:28:00,4320,60,960,False,,,True,2025-01-20 10:28:00,2025-01-20 10:28:00
b5293332-0f1b-47fd-8ec0-4b5fb0fe257e,399df21d-b368-40f5-8442-df8387e5b3a2,RESOLUTION,LOW,2025-05-05 09:56:00,2025-05-12 09:56:00,10080,1440,2880,False,,,True,2025-05-05 09:56:00,2025-05-05 09:56:00
b3def27d-a98f-4b74-9483-552cc8f67b74,c8f98277-f305-48f8-bbac-f16eddf6384e,RESOLUTION,MEDIUM,2025-04-09 03:21:00,2025-04-12 03:21:00,4320,,,True,2025-04-12 03:21:00,เกินกำหนด SLA โดยยังไม่มีการดำเนินการแก้ไข,True,2025-04-09 03:21:00,2025-04-09 03:21:00
bdf240b8-8a68-443b-831b-059b52b0ca99,8936e053-897a-43d6-8a0b-63062bb015d5,RESOLUTION,LOW,2025-06-19 13:27:00,2025-06-26 13:27:00,10080,1200,,True,2025-06-26 13:27:00,เกินกำหนด SLA โดยยังไม่มีการดำเนินการแก้ไข,True,2025-06-19 13:27:00,2025-06-19 13:27:00
869415f0-b7c4-455f-9a9b-fd76b455def1,2240d356-a90d-44e3-9f82-52a22a7df8d2,RESOLUTION,MEDIUM,2025-04-08 22:09:00,2025-04-11 22:09:00,4320,720,1440,False,,,True,2025-04-08 22:09:00,2025-04-08 22:09:00
6145c115-cef1-40c2-9307-4a1a805ba6c9,f72f04e4-3f24-4c2d-8e57-e83c2771074d,RESOLUTION,MEDIUM,2025-06-28 12:12:00,2025-07-01 12:12:00,4320,360,1080,False,,,True,2025-06-28 12:12:00,2025-06-28 12:12:00
caa82103-ff17-48d1-b38e-4e52881fa4bb,efe68bfb-176a-4fe0-aca4-8d0aaae7c53d,RESOLUTION,LOW,2025-06-18 10:01:00,2025-06-25 10:01:00,10080,660,1320,False,,,True,2025-06-18 10:01:00,2025-06-18 10:01:00
8052a932-f4a4-4c58-a0e3-fc8735ae78b4,6248f91a-26e6-4b7e-ba9e-879617dbc807,RESOLUTION,MEDIUM,2025-03-27 12:16:00,2025-03-30 12:16:00,4320,180,600,False,,,True,2025-03-27 12:16:00,2025-03-27 12:16:00
9c6af717-03b9-4844-ae89-08894a1a58e1,ede6948a-df27-4dda-bea8-f35f0e697ccc,RESOLUTION,LOW,2025-05-18 07:26:00,2025-05-25 07:26:00,10080,900,1800,False,,,True,2025-05-18 07:26:00,2025-05-18 07:26:00
c4616fd0-f449-40bc-990f-6c8256c38969,02ca5324-58b6-46fc-919c-9fb600af7076,RESOLUTION,MEDIUM,2025-07-02 12:39:00,2025-07-05 12:39:00,4320,120,600,False,,,True,2025-07-02 12:39:00,2025-07-02 12:39:00
f5620002-b009-47a2-9176-fb1b80c40e14,62892dfb-a252-4eb3-8918-3bd42909b66d,RESOLUTION,MEDIUM,2025-03-16 14:49:00,2025-03-19 14:49:00,4320,1020,,True,2025-03-19 14:49:00,เกินกำหนด SLA โดยยังไม่มีการดำเนินการแก้ไข,True,2025-03-16 14:49:00,2025-03-16 14:49:00
430df3c4-88b2-4c45-9dab-c5e66f653111,572c7dcd-9084-4f08-9e4c-f8999cc6ce39,RESOLUTION,MEDIUM,2025-06-17 12:35:00,2025-06-20 12:35:00,4320,,,True,2025-06-20 12:35:00,เกินกำหนด SLA โดยยังไม่มีการดำเนินการแก้ไข,True,2025-06-17 12:35:00,2025-06-17 12:35:00
2647c49f-9e47-4ed4-ad70-f2d053b382c7,37e1a3f7-1cfe-41e5-9771-9dbf968f9464,RESOLUTION,MEDIUM,2025-06-15 09:15:00,2025-06-18 09:15:00,4320,1080,2160,False,,,True,2025-06-15 09:15:00,2025-06-15 09:15:00
be5fd991-b66d-43ba-8d5b-a9f2c80856e5,6fd9920c-603a-4f2d-8c90-2a6c9799bbee,RESOLUTION,MEDIUM,2025-05-23 09:26:00,2025-05-26 09:26:00,4320,240,,True,2025-05-26 09:26:00,เกินกำหนด SLA โดยยังไม่มีการดำเนินการแก้ไข,True,2025-05-23 09:26:00,2025-05-23 09:26:00
21cb9816-def5-4073-b857-c33898ccc75e,6df2c656-9bc8-4756-bd48-fa52f5f21849,RESOLUTION,MEDIUM,2025-06-28 19:53:00,2025-07-01 19:53:00,4320,,,False,,,True,2025-06-28 19:53:00,2025-06-28 19:53:00
f2dea97f-04a4-4e05-904a-556d2aa43f70,12764198-7cd0-4cdc-9746-ce4d9af0fbf2,RESOLUTION,MEDIUM,2025-05-19 23:42:00,2025-05-22 23:42:00,4320,540,780,False,,,True,2025-05-19 23:42:00,2025-05-19 23:42:00
