workflow_log_id,complaint_id,old_status,new_status,action_type,action_by,action_note,action_datetime,ip_address
7c887280-172c-4889-8167-1c3781b308d4,ffaf01f7-3259-49f8-883a-0591ce6025a9,PENDING,IN_PROGRESS,ASSIGNED,00000001-0000-0000-0000-000000000015,มอบหมายงานให้เจ้าหน้าที่ดำเนินการ,2025-02-05 00:57:34,192.168.3.235
a1c24fb9-ce60-49ac-a202-b8151ca274aa,ffaf01f7-3259-49f8-883a-0591ce6025a9,IN_PROGRESS,RESOLVED,RESOLVED,00000001-0000-0000-0000-000000000015,ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-02-05 09:57:34,192.168.9.197
3b5b5b32-686a-4df5-9557-d75928032ec6,4dbf0105-acf0-483a-8bed-0f3777b75523,PENDING,IN_PROGRESS,ASSIGNED,00000001-0000-0000-0000-000000000013,มอบหมายงานให้เจ้าหน้าที่ดำเนินการ,2025-06-02 11:10:44,192.168.7.70
06990873-6328-4520-ae96-d896f12f599a,4dbf0105-acf0-483a-8bed-0f3777b75523,IN_PROGRESS,RESOLVED,RESOLVED,00000001-0000-0000-0000-000000000013,ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-06-03 05:10:44,192.168.3.125
9deddf71-2901-4443-a689-344f5ddeaed0,369aa346-a9d1-4655-b982-ac8c42651804,PENDING,IN_PROGRESS,ASSIGNED,00000001-0000-0000-0000-000000000011,มอบหมายงานให้เจ้าหน้าที่ดำเนินการ,2025-01-16 11:59:24,192.168.6.212
7747400c-4d6c-41b9-8553-855c96ff59cb,369aa346-a9d1-4655-b982-ac8c42651804,IN_PROGRESS,RESOLVED,RESOLVED,00000001-0000-0000-0000-000000000011,ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-01-17 09:59:24,192.168.8.217
226dd39e-0e3e-4bf0-aa26-b7c53bb22c64,369aa346-a9d1-4655-b982-ac8c42651804,RESOLVED,CLOSED,CLOSED,00000001-0000-0000-0000-000000000464,ปิดเรื่องร้องเรียน ผู้ร้องเรียนยืนยันการแก้ไขเรียบร้อย,2025-01-18 07:59:24,192.168.1.29
7e96d9f1-d42e-4790-88c0-33e8acf08752,3f14af45-33bc-403f-aa83-5a6bc7b4beca,PENDING,IN_PROGRESS,ASSIGNED,00000001-0000-0000-0000-000000000014,มอบหมายงานให้เจ้าหน้าที่ดำเนินการ,2025-06-14 08:40:53,192.168.4.155
80b50364-385b-4c37-816b-088b2fe85cc5,6c85f699-fc64-48a2-89cc-38d8a0c19724,PENDING,IN_PROGRESS,ASSIGNED,00000001-0000-0000-0000-000000000013,มอบหมายงานให้เจ้าหน้าที่ดำเนินการ,2025-06-22 00:14:43,192.168.7.104
992da30f-5c46-449b-a20c-92f85c0e0a57,6c85f699-fc64-48a2-89cc-38d8a0c19724,IN_PROGRESS,RESOLVED,RESOLVED,00000001-0000-0000-0000-000000000013,ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-06-22 09:14:43,192.168.6.27
36ac3aa4-642a-4170-b5b4-69364bc871a1,a7d5db4a-af54-49da-b243-d813c25d85b1,PENDING,IN_PROGRESS,ASSIGNED,00000001-0000-0000-0000-000000000031,มอบหมายงานให้เจ้าหน้าที่ดำเนินการ,2025-06-21 18:16:08,192.168.3.121
d22533dd-99a6-4885-971f-8e863db82383,a7d5db4a-af54-49da-b243-d813c25d85b1,IN_PROGRESS,RESOLVED,RESOLVED,00000001-0000-0000-0000-000000000031,ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-06-22 00:16:08,192.168.5.115
07f8cdd6-6fb8-483f-a1c3-fd4b87124183,a7d5db4a-af54-49da-b243-d813c25d85b1,RESOLVED,CLOSED,CLOSED,00000001-0000-0000-0000-000000000253,ปิดเรื่องร้องเรียน ผู้ร้องเรียนยืนยันการแก้ไขเรียบร้อย,2025-06-22 06:16:08,192.168.4.18
137d2a5a-e9e0-4bcd-adf8-97f8032fcb28,5cc9612f-2efe-4058-9262-ba16d947c98d,PENDING,IN_PROGRESS,ASSIGNED,00000001-0000-0000-0000-000000000015,มอบหมายงานให้เจ้าหน้าที่ดำเนินการ,2025-02-22 02:43:27,192.168.8.74
eb30e165-1fce-4d01-8c39-fa256983489e,5cc9612f-2efe-4058-9262-ba16d947c98d,IN_PROGRESS,RESOLVED,RESOLVED,00000001-0000-0000-0000-000000000015,ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-02-22 20:43:27,192.168.1.103
1994e5b3-5331-4495-afe0-7ffa6a385535,5cc9612f-2efe-4058-9262-ba16d947c98d,RESOLVED,CLOSED,CLOSED,00000001-0000-0000-0000-000000000491,ปิดเรื่องร้องเรียน ผู้ร้องเรียนยืนยันการแก้ไขเรียบร้อย,2025-02-23 14:43:27,192.168.3.27
88f76514-9370-48fc-89c4-bc05ad92a34a,5d2f03a3-abc1-4a2e-b85f-98f46fd459d5,PENDING,IN_PROGRESS,ASSIGNED,00000001-0000-0000-0000-000000000013,มอบหมายงานให้เจ้าหน้าที่ดำเนินการ,2025-06-11 13:27:10,192.168.8.246
9debf419-0fcc-46d4-a8e3-cfae587d2a31,5d2f03a3-abc1-4a2e-b85f-98f46fd459d5,IN_PROGRESS,RESOLVED,RESOLVED,00000001-0000-0000-0000-000000000013,ดำเนินการแก้ไขเสร็จสิ้น รอการยืนยันจากผู้ร้องเรียน,2025-06-11 19:27:10,192.168.4.193
